position_x_lambda,intensity_marked,intensity_erased
-185.64102,1.0,0.336827206236945
-185.54335,1.0,0.3308515888397882
-185.44566,1.0,0.325359859404968
-185.34799,1.0,0.3198922422340323
-185.2503,1.0,0.3144494022231468
-185.15262,1.0,0.3085819086759641
-185.05495,1.0,0.30274531324470816
-184.95726,1.0,0.2973859959256727
-184.85959,1.0,0.2916116269532009
-184.7619,1.0,0.28675182265639154
-184.66423,1.0,0.2810404037061781
-184.56654,1.0,0.27536424380850644
-184.46887,1.0,0.27015695304213855
-184.37119,1.0,0.2645514872514765
-184.2735,1.0,0.25983807744569737
-184.17583,1.0,0.2538794540123002
-184.07814,1.0,0.24880870162909727
-183.98047,1.0,0.24377256295804012
-183.88278,1.0,0.23877168333952467
-183.78511,1.0,0.23298280398602905
-183.68742,1.0,0.2280606754515877
-183.58974,1.0,0.22317601577164994
-183.49207,1.0,0.21792734499686364
-183.39438,1.0,0.21312276619333098
-183.2967,1.0,0.20796242882971
-183.19902,1.0,0.20284924042653166
-183.10135,1.0,0.19894864662732203
-183.00366,1.0,0.1939209364929512
-182.90598,1.0,0.18894264378829362
-182.8083,1.0,0.18439189887383015
-182.71062,1.0,0.17951091567857227
-182.61295,1.0,0.1750513202060928
-182.51526,1.0,0.17063644877862877
-182.41759,1.0,0.16626688806926748
-182.3199,1.0,0.16122711202506954
-182.22223,1.0,0.15695782352419843
-182.12454,1.0,0.15273567420588516
-182.02686,1.0,0.14821559273811358
-181.92918,1.0,0.14409365696098175
-181.8315,1.0,0.14002064971932385
-181.73383,1.0,0.13599717724199661
-181.63614,1.0,0.13202375775689376
-181.53847,1.0,0.12745216639206453
-181.44078,1.0,0.12326953928406013
-181.3431,1.0,0.12009347696967862
-181.24542,1.0,0.11601890526645478
-181.14774,1.0,0.11231272515046405
-181.05006,1.0,0.1083579520916499
-180.95238,1.0,0.10446634416855946
-180.8547,1.0,0.10093077836421618
-180.75702,1.0,0.09745009582718206
-180.65935,1.0,0.09374186235538605
-180.56166,1.0,0.09009920915685612
-180.46397,1.0,0.08679545744504183
-180.3663,1.0,0.08328053275548382
-180.26862,1.0,0.07983288969114477
-180.17094,1.0,0.07696859034425273
-180.07326,1.0,0.07389966920242419
-179.97559,1.0,0.07064116465246152
-179.8779,1.0,0.06769481418537977
-179.78021,1.0,0.06456999776516666
-179.68254,1.0,0.06151550389234126
-179.58485,1.0,0.058758751500220856
-179.48718,1.0,0.05606268555003066
-179.3895,1.0,0.053210867673069144
-179.29182,1.0,0.05064238845252145
-179.19414,1.0,0.04813572990853923
-179.09647,1.0,0.04549028406789106
-178.99878,1.0,0.043113456278109946
-178.9011,1.0,0.04060946220773218
-178.80342,1.0,0.03836387563203269
-178.70573,1.0,0.03618177197331248
-178.60806,1.0,0.033889818667953285
-178.51038,1.0,0.031840921578156864
-178.4127,1.0,0.029693947415004956
-178.31502,1.0,0.02762286430462695
-178.21733,1.0,0.02577875523380839
-178.11966,1.0,0.023999854876633992
-178.02197,1.0,0.022286405235752232
-177.9243,1.0,0.020504307510252503
-177.82661,1.0,0.018927967036560137
-177.72894,1.0,0.017294928275695048
-177.63126,1.0,0.01585663564613162
-177.53358,1.0,0.014373616527081494
-177.4359,1.0,0.013179960463709537
-177.33821,1.0,0.011742122505788703
-177.24054,1.0,0.01058241525839703
-177.14285,1.0,0.009490003691933736
-177.04518,1.0,0.008382675962227953
-176.9475,1.0,0.007430935768605496
-176.84982,1.0,0.006476324543562471
-176.75214,1.0,0.00566582650680529
-176.65445,1.0,0.004923299436144585
-176.55678,1.0,0.004195715417909533
-176.45909,1.0,0.0035481435253271855
-176.36142,1.0,0.0030214941227872352
-176.26373,1.0,0.0025987567463493875
-176.16606,1.0,0.0021438496706241285
-176.06837,1.0,0.0018280870899184452
-175.9707,1.0,0.0015808211893959855
-175.87302,1.0,0.0013902908542319976
-175.77533,1.0,0.0012858308082434764
-175.67766,1.0,0.001249944596060326
-175.57997,1.0,0.0012947528225526678
-175.4823,1.0,0.0013954363133216797
