# Validacion de Hipótesis (Born)
# Parametros: N_waves=1000000, Sigma=0.05, Lambda0=0.0, Seed=12345
# Metricas: MAE=2.173564e-05, R2=1.00000000
# Alpha_Rad,Intensity_Sim,Malus_Theoretical
6.300687193870544434e-01,6.528106331825256348e-01,6.528430581092834473e-01
6.475706100463867188e-01,6.360558867454528809e-01,6.360887289047241211e-01
6.650725603103637695e-01,6.191343665122985840e-01,6.191675662994384766e-01
6.825744509696960449e-01,6.020672321319580078e-01,6.021004319190979004e-01
7.000763416290283203e-01,5.848746895790100098e-01,5.849083065986633301e-01
7.175782918930053711e-01,5.675781965255737305e-01,5.676121115684509277e-01
7.350801825523376465e-01,5.501990914344787598e-01,5.502331256866455078e-01
7.525820732116699219e-01,5.327584743499755859e-01,5.327925682067871094e-01
7.700839638710021973e-01,5.152777433395385742e-01,5.153118371963500977e-01
7.875859141349792480e-01,4.977781772613525391e-01,4.978122711181640625e-01
8.050878047943115234e-01,4.802813529968261719e-01,4.803154468536376953e-01
8.225896954536437988e-01,4.628086388111114502e-01,4.628427028656005859e-01
8.400916457176208496e-01,4.453815519809722900e-01,4.454155266284942627e-01
8.575935363769531250e-01,4.280213415622711182e-01,4.280552566051483154e-01
8.750954270362854004e-01,4.107494950294494629e-01,4.107830822467803955e-01
8.925973773002624512e-01,3.935868740081787109e-01,3.936201930046081543e-01
9.100992679595947266e-01,3.765545189380645752e-01,3.765876293182373047e-01
9.276011586189270020e-01,3.596734404563903809e-01,3.597063422203063965e-01
9.451031088829040527e-01,3.429643213748931885e-01,3.429968357086181641e-01
9.626049995422363281e-01,3.264476954936981201e-01,3.264797627925872803e-01
9.801068902015686035e-01,3.101435899734497070e-01,3.101752102375030518e-01
9.976087808609008789e-01,2.940721511840820312e-01,2.941032946109771729e-01
1.015110731124877930e+00,2.782528698444366455e-01,2.782835066318511963e-01
1.032612681388854980e+00,2.627052664756774902e-01,2.627354264259338379e-01
1.050114512443542480e+00,2.474485039710998535e-01,2.474781125783920288e-01
1.067616462707519531e+00,2.325011640787124634e-01,2.325300574302673340e-01
1.085118412971496582e+00,2.178814709186553955e-01,2.179096937179565430e-01
1.102620244026184082e+00,2.036075592041015625e-01,2.036350220441818237e-01
